APLICAÇÕES TÉCNICAS DA ESTASTÍSTICA NO >>TOTAL DE ROUBOS<< NA BAIXADA SANTISTA ENTRE 2001 E 2025


ANO	MEDIA
2001	115.31481
2002	117.09259
2003	139.56481
2004	139.88889
2005	136.17593
2006	139.46296
2007	135.59259
2008	112.64815
2009	145.93519
2010	147.38889
2011	158.76852
2012	156.22222
2013	166.75000
2014	189.26852
2015	166.25000
2016	173.33333
2017	169.97222
2018	138.72222
2019	129.16667
2020	105.97222
2021	99.79630
2022	111.31481
2023	127.22222
2024	94.90741
2025	93.89815



ANO	MEDIANA
2001	51.5
2002	63.0
2003	54.0
2004	55.5
2005	64.0
2006	61.0
2007	62.5
2008	49.0
2009	72.5
2010	80.0
2011	95.0
2012	81.5
2013	81.0
2014	90.5
2015	93.0
2016	87.0
2017	88.5
2018	73.5
2019	77.5
2020	55.0
2021	58.5
2022	49.5
2023	53.5
2024	43.0
2025	42.5



ANO	MODA
2001	36
2002	12
2003	22
2004	45
2005	23
2006	59
2007	28
2008	21
2009	50
2010	42
2011	15
2012	27
2013	27
2014	43
2015	27
2016	40
2017	38
2018	52
2019	27
2020	32
2021	29
2022	24
2023	33
2024	31
2025	31



ANO	DESVIO_PADRAO
2001	97.68954
2002	119.12724
2003	136.24156
2004	134.21550
2005	124.40669
2006	127.17031
2007	121.63705
2008	110.24597
2009	121.93044
2010	120.62236
2011	132.88429
2012	131.63780
2013	135.35679
2014	157.92632
2015	129.10447
2016	132.66584
2017	132.54020
2018	108.10317
2019	97.05086
2020	86.00548
2021	75.64894
2022	88.25215
2023	107.25429
2024	77.57415
2025	78.46041



ANO	DESVIO_ABS_MEDIO
2001	92.25720
2002	93.28978
2003	119.37877
2004	117.13169
2005	109.88066
2006	110.74520
2007	108.44719
2008	96.23011
2009	112.46502
2010	112.02469
2011	124.24280
2012	125.32099
2013	126.64815
2014	143.77984
2015	121.48148
2016	127.98148
2017	121.72840
2018	98.78395
2019	91.14815
2020	76.56173
2021	68.36626
2022	82.08471
2023	100.63169
2024	71.73045
2025	72.62946



ANO	MAD
2001	62.2692
2002	77.0952
2003	65.2344
2004	60.0453
2005	66.7170
2006	63.0105
2007	63.7518
2008	49.6671
2009	74.1300
2010	94.8864
2011	118.608
2012	91.9212
2013	80.8017
2014	92.6625
2015	97.8516
2016	77.0952
2017	86.7321
2018	77.0952
2019	79.3191
2020	59.3040
2021	54.1149
2022	40.0302
2023	48.1845
2024	39.2889
2025	43.7367



ANO	AMPLITUDE
2001	323
2002	655
2003	478
2004	534
2005	483
2006	496
2007	424
2008	439
2009	427
2010	412
2011	421
2012	430
2013	396
2014	599
2015	401
2016	374
2017	491
2018	419
2019	346
2020	356
2021	277
2022	336
2023	348
2024	233
2025	235



ANO	QUANTIL (90%)
2001	254.6
2002	256.7
2003	349.1
2004	356.3
2005	319.0
2006	323.3
2007	330.0
2008	284.3
2009	326.6
2010	318.2
2011	339.9
2012	326.9
2013	356.6
2014	405.3
2015	330.9
2016	346.6
2017	332.6
2018	284.9
2019	255.6
2020	219.3
2021	204.3
2022	225.8
2023	272.3
2024	206.0
2025	206.0
